id,en,fr,it,de,es
"-761609158","Dungeon Defiler","Profanateur de Donjon","Profanatore del sotterraneo","Dungeondurchforster","Profanador de mazmorras"
"-1781916066","Beat {0} Dungeons","Gagnez {0} Donjons","Conquista {0} i sotterranei","Bezwinge {0} Dungeons","Supera {0} mazmorras"
"507939582","Secret Hunter","Chasseur de secrets","test","Schatzsucher","Secret Hunter"
"134592412","Find {0} Sparkly Objects in Dungeons","Trouvez {0} objets brillants dans les Donjons","Find {0} Sparkly Objects in Dungeons","Finde {0} glänzende Kleinote in Dungeons","Find {0} Sparkly Objects in Dungeons"
"-904897870","Dungeon Raider","Détrousseur de Donjon","Razziatore del sotterraneo","Dungeon-Raider","Saqueador de mazmorras"
"1636965347","Win {0} PVP Raids","Gagnez {0} des Raids PVP","Vinci {0} gli assalti Giocatore contro Giocatore","Gewinne {0} PVP-Raids","Vence en {0} saqueos JcJ"
"-2046077311","Gold Collection","Collection de Pièces","Raccolta oro","Goldsammlung","Recaudación de oro"
"-1846738099","Collect My Dungeon Gold {0} Times","Amassez les Pièces de Mon Donjon {0} fois","Raccogli oro sotterraneo {0} volte","Sammle {0}x Gold in Deinem Dungeon","Recauda el oro de Mi mazmorra {0} veces"
"72480611","Power Level","Niveau de puissance","Livello di energia","Power Level","Nivel de poder"
"-1769165004","Gain {0} Hero Level","Gagnez {0} niveau de Héros","Aumenta {0} il livello Eroe","Erreiche {0} Heldenlevel","Obtén {0} nivel de héroe"
"-30524250","Gain {0} Hero Levels","Gagnez {0} niveaux de Héros","Aumenta {0} i livelli Eroe","Erreiche {0} Heldenlevel","Obtén {0} niveles de héroe"
"170395391","The Collector","Le Collectionneur","Il collezionista","Der Sammler","El coleccionista"
"1010975373","Collect {0} Hero Tokens from Dungeons","Amassez {0} des Jetons de héros dans les Donjons","Colleziona {0} gettoni Eroe nei sotterranei","Sammle {0} Heldenmarken in Dungeons","Recopila {0} fichas de héroe de las mazmorras"
"1494892268","Wanted: Wraith Squires","Avis de recherche : Écuyers fantômes","Ricercato: Signore degli spettri","Gesucht: Phantomknappen","Se busca: Escuderos fantasma"
"-416325564","Defeat {0} Wraith Squires","Liquidez {0} Écuyers fantômes","Batte {0} Signore degli spettri","Besiege {0} Phantomknappen","Vence a {0} escuderos fantasma"
"-1657765927","Going Ham","Cochonnaille","Fuori di testa","Schinkenklatscher","A tope"
"1803450386","Defeat {0} Rotslop Guards","Détruisez {0} Gardes Pourris","Defeat {0} Rotslop Guards","Besiege {0} Rotslop Wächter","Vence a {0} guardia Bazofiapodrida"
"-1860105352","Priestess Purge","Purge de Prêtresses","Priestess Purge","Falsche Priester","Purga de sacerdotisas"
"1806775546","Defeat {0} Summer Priestesses","Anéantissez {0} Prêtresses d'été","Batte {0} Sacerdotesse estive","Besiege {0} Sommerpriesterinnen","Vence a {0} sacerdotisas del verano"
"1847987236","Chivalry is Dead","La chevalerie, c'est fini","La cavalleria è morta","Keine edlen Ritter mehr","La caballerosidad ha muerto"
"-783627718","Defeat {0} Knights","Détruisez {0} Chevaliers","Batte {0} Cavalieri","Besiege {0} Ritter","Vence a {0} caballeros"
"-911663405","Death from Above","Mort venue du ciel","Morte dall'alto","Tod von oben","Muerte desde las alturas"
"1179883052","Defeat {0} Flying Beasts","Combattez {0} Bêtes volantes","Batte {0} bestie volanti","Besiege {0} geflügelte Gegner","Vence a {0} bestias voladoras"
"732666997","Wanted: Gorefoot Pack","Avis de recherche : Meute de déchiqueteurs","Ricercato: Branco di Gorefoot","Gesucht: Das Schimmelfußpack","Se busca: Manada de Gorefoots"
"379678335","Defeat {0} Gorefoot Beasts","Réduisez {0} Bêtes déchiqueteuses à néant","Batte {0} bestie Gorefoot","Besiege {0} die Schimmelfuß Biester","Vence a {0} bestias Gorefoot"
"-84583871","Wanted: Prairie Horde","Avis de recherche : Horde des plaines","Ricercato: Orda della prateria","Gesucht: Herde der Prärie","Se busca: Horda de la Pradera"
"-652975008","Defeat {0} Prairie Beasts","Combattez {0} Bêtes des plaines","Batte {0} bestie della prateria","Besiege {0} die Prärie Biester","Vence a {0} bestias de la Pradera"
"-1136809304","Beard Battle","Bataille de barbes","Battaglia barbuta","Kurze Krieger","Batalla barbuda"
"-1480920616","Defeat {0} Dwarf Warriors","Vainquez {0} Guerriers Nains","Batte {0} Guerrieri nani","Besiege {0} Zwergenkrieger","Vence a {0} guerreros enanos"
"-2032979309","Wanted: Shadowclan Clan","Avis de recherche : Clan de l'Ombre","Ricercato: Clan delle ombre","Gesucht: Schattenclan","Se busca: Clansombrio"
"2049510934","Defeat {0} Shadowclan Goblins","Détruisez {0} Gobelins de l'ombre","Batte {0} Goblin delle ombre","Besiege {0} Schattenclan Goblins","Vence a {0} duendes Clansombrío"
"-360973801","Wanted: Torchflinger Clan","Avis de recherche : Clan des Lanceflammes","Ricercato: Clan Torchflinger","Gesucht: Fackelschleudeclan","Se busca: Clan Lanzantorchas"
"1247404035","Defeat {0} Torchflinger Goblins","Détruisez {0} Gobelins Lanceflammes","Batte {0} goblin Torchflinger","Besiege {0} Fackelschleuder Goblins","Vence a {0} duendes Lanzantorchas"
"165330161","Wanted: Nuggetooth Clan","Avis de recherche : Clan Coupdedent","Ricercato: Clan Nuggetooth","Gesucht: Brockenzahnclan","Se busca: Clan Pepidientes"
"-683444422","Defeat {0} Nuggetoof Goblins","Écrasez {0} Gobelins Coupdedent","Batte {0} goblin Nuggetoof","Besiege {0} Brockenzahn Goblins","Vence a {0} duendes Pepidientes"
"-934216752","Sobbin' Goblin","Gobelin pleurnichard","Goblin piagnucolanti","Jammernder Goblin","Duende llorica"
"-833588210","Defeat {0} Goblin Warriors","Vainquez {0} Guerriers Gobelins","Batte {0} guerrieri goblin","Besiege {0} Goblinkrieger","Vence a {0} guerreros duende"
"-261555303","Cube Catch","Attrape-cube","Acchiappa cubo","Traubengelee","Cubo atrapado"
"-2097926907","Defeat {0} Grape Gels","Rossez {0} Gels au raisin","Batte {0} Gel d'uva","Besiege {0} Geleetropfen","Vence a {0} gelatinas de uva"
"-786745054","Wanted: Crashing Wave","Avis de recherche : Déferlante","Ricercato: Crashing Wave","Gesucht: Sturmflut","Se busca: Ola rompedora"
"-606043846","Defeat {0} Crashing Wave","Domptez {0} vagues déferlantes","Batte {0} Crashing Wave","Besiege {0} Sturmflutgegner","Vence a {0} ola rompedora"
"1643725824","Wanted: Fire Palms","Avis de recherche : Paumes de feu","Ricercato: Fire Palms","Gesucht: Feuerhand","Se busca: Palma de fuego"
"-1966155","Defeat {0} Fire Palms","Éteignez {0} Paumes de feu","Defeat {0} Fire Palms","Besiege {0} Feuerhandgegner","Vence a {0} palma de fuego"
"-1457802818","Wanted: Crashing Waves","Avis de recherche : Déferlantes","Ricercato: Crashing Waves","Gesucht: Sturmflut","Se busca: Ola rompedora"
"-1424892728","Defeat {0} Crashing Waves","Domptez {0} vagues déferlantes","Defeat {0} Crashing Waves","Besiege {0} Sturmflutgegner","Vence a {0} ola rompedora"
"1535632015","Fetid Fungi","Champignons fétides","Fungo fetido","Pestpilz","Hongos fétidos"
